nct_id,brief_title,study_type,overall_status,start_date,study_first_post_date,enrollment,lead_sponsor,interventions,countries,has_results,preliminary_screening,screening_reason
NCT04414761,Live Birth Rate Between PPOS and GnRH Antagonist Protocol in Patients With Anticipated High Ovarian Response,INTERVENTIONAL,COMPLETED,2020-06-04,2020-06-04,784,ShangHai Ji Ai Genetics & IVF Institute,Progesterone; GnRH Antagonist,China,False,exclude,Does not explicitly meet both criteria (Trans population + GAHT)
NCT04534881,Effect of Progesterone on Testosterone Concentrations and Breast Development in Transwomen,INTERVENTIONAL,TERMINATED,2020-10-20,2020-09-01,5,St. Louis University,Progesterone 200 MG; Placebo,United States,True,include,Transgender population and GAHT intervention/exposure identified
NCT06291675,"Gender-Affirming Hormone Therapy and Its Impact on Myocardial Mass and Cardiac Function, Heart, Liver and Pancreatic Fat Content",OBSERVATIONAL,RECRUITING,2023-03-03,2024-03-04,50,Medical University of Vienna,gender-affirming hormone therapy,Austria,False,include,Transgender population and GAHT intervention/exposure identified
NCT04593680,Assessment of Drug-drug Interactions Between Masculinizing Hormone Therapy and Antiretroviral Agents Concomitantly for Pre-exposure Prophylaxis Among Transgender Men,INTERVENTIONAL,ACTIVE_NOT_RECRUITING,2022-01-24,2020-10-20,20,Thai Red Cross AIDS Research Centre,Emtricitabine 200 mg/tenofovir disoproxil fumarate 300 mg (F/TDF) and emtricitabine 200 mg/tenofovir alafenamide 25 mg (F/TAF),Thailand,False,include,Transgender population and GAHT intervention/exposure identified
NCT03784404,Trans-vaginal Aspiration of Small Ovarian Endometrioma. Comparison of Two Different Techniques Before ICSI,INTERVENTIONAL,UNKNOWN,2018-12,2018-12-21,100,Cairo University,Transvaginal aspiration; transvaginal aspiration and surgicel injection; Intracytoplasmic sperm injection,Egypt,False,exclude,Cisgender/unrelated indication
NCT05442463,Hormone Therapy and Angiotensin-Dependent Arterial and Renal Vasoconstriction in Humans,OBSERVATIONAL,RECRUITING,2020-11-30,2022-07-05,200,University of Calgary,Captopril Tablets; Iohexol,Canada,False,exclude,Does not explicitly meet both criteria (Trans population + GAHT)
NCT04551144,"Effect of Transgender Therapy on Muscle, Fat and Tissue Receptors",OBSERVATIONAL,TERMINATED,2020-10-06,2020-09-16,4,St. Louis University,testosterone cypionate; Estradiol Valerate,United States,False,include,Transgender population and GAHT intervention/exposure identified
NCT04869865,"The Effects of a Springtime Home Cleanse on Skin, Gut, Metabolic and Mental Health",INTERVENTIONAL,UNKNOWN,2021-04-29,2021-05-03,18,Integrative Skin Science and Research,9-day detoxification cleanse and 1 week of pre-cleanse transition,United States,False,exclude,Does not explicitly meet both criteria (Trans population + GAHT)
NCT07145827,Effect of Metformin on Endometrial Thickness in Postmenopausal Breast Cancer Patients Receiving Tamoxifen,INTERVENTIONAL,COMPLETED,2024-01-02,2025-08-28,60,Uruk University,Metfomin; tamoxifen; Placebo matching Metformin,Iraq,False,exclude,Cisgender/unrelated indication
NCT03826563,Melatonin Effects on Sleep and Circadian Rhythm in Youth and Young Adults With At-risk Symptoms,INTERVENTIONAL,COMPLETED,2019-01-18,2019-02-01,21,Children's Hospital of Philadelphia,oral melatonin tablets (NatureMade brand); Placebo,United States,False,exclude,Does not explicitly meet both criteria (Trans population + GAHT)
NCT03230084,Use of a Home-based PDG Urine Test to Confirm Ovulation,INTERVENTIONAL,COMPLETED,2017-08-23,2017-07-26,25,Bruyère Health Research Institute.,Urine PDG test,Canada,False,exclude,Does not explicitly meet both criteria (Trans population + GAHT)
NCT05527353,AMH for the Identification of PCOM in PCOS Diagnosis,OBSERVATIONAL,UNKNOWN,2020-05-13,2022-09-02,1800,Oulu University Hospital,,Finland,False,exclude,Cisgender/unrelated indication
NCT04036500,Transgender Estradiol,INTERVENTIONAL,COMPLETED,2019-09-23,2019-07-29,11,Medical College of Wisconsin,Estradiol,United States,True,include,Transgender population and GAHT intervention/exposure identified
NCT05369247,Interval Versus Continuous Exercise During Pregnancy,INTERVENTIONAL,COMPLETED,2020-12-01,2022-05-11,32,University of Alberta,High intensity Interval Training; Moderate Intensity Continuous Training,Canada,False,exclude,Does not explicitly meet both criteria (Trans population + GAHT)
